STATE,District Name,Market Name,Commodity,Variety,Grade
Maharashtra,nashik,Lasalgaon(Niphad),Wheat,Maharashtra 2189,FAQ
Maharashtra,satara,Patan,Tomato,Other,FAQ
Uttar Pradesh,mainpuri,Bewar,Potato,Local,FAQ
Rajasthan,chittorgarh,Nimbahera,Wheat,Other,FAQ
Rajasthan,pratapgarh,Pratapgarh,Onion,Other,FAQ
Rajasthan,bharatpur,Bayana,Onion,Onion,FAQ
Haryana,ambala,Naraingarh,Tomato,Tomato,FAQ
Uttar Pradesh,pratapgarh,Pratapgarh,Onion,Other,FAQ
West Bengal,birbhum,Sainthia,Wheat,Other,FAQ
Himachal Pradesh,mandi,Mandi(Takoli),Tomato,Other,FAQ
Uttar Pradesh,sambhal,Muradabad,Tomato,Deshi,FAQ
Rajasthan,pratapgarh,Pratapgarh,Wheat,Dara,FAQ
Uttar Pradesh,pratapgarh,Pratapgarh,Wheat,Dara,FAQ
Haryana,panipat,Panipat,Potato,Other,FAQ
Gujarat,bhavnagar,Mahuva(Station Road),Wheat,Kalyan,FAQ
Uttar Pradesh,bareilly,Bareilly,Onion,Red,FAQ
Haryana,kaithal,Kaithal,Onion,1st Sort,FAQ
Himachal Pradesh,kangra,Palampur,Onion,Other,FAQ
Meghalaya,west garo hills,Tura,Potato,Local,FAQ
Maharashtra,nashik,Lasalgaon(Vinchur),Wheat,Other,FAQ
Madhya Pradesh,rajgarh,Kurawar,Wheat,Lok -1 (Nilami Rate),FAQ
Madhya Pradesh,sagar,Kesli,Wheat,Other,FAQ
Haryana,panipat,Panipat,Tomato,Other,FAQ
Andhra Pradesh,nalgonda,Venkateswarnagar,Potato,Local,FAQ
Gujarat,anand,Khambhat(Grain Market),Wheat,Other,FAQ
Kerala,ernakulam,Thrippunithura,Onion,Big,FAQ
Madhya Pradesh,satna,Nagod,Wheat,Dara Mill Quality,FAQ
Madhya Pradesh,mandla,Nainpur,Wheat,Local,FAQ
West Bengal,birbhum,Birbhum,Onion,Other,FAQ
Gujarat,patan,Patan,Wheat,Other,FAQ
Uttar Pradesh,amethi,Sultanpur,Tomato,Deshi,FAQ
Haryana,sonipat,Sonepat(Kharkhoda),Tomato,Deshi,FAQ
Uttar Pradesh,bulandshahar,Siyana,Tomato,Local,FAQ
Madhya Pradesh,jhabua,Petlawad,Wheat,147 Average,FAQ
Nagaland,mokokchung,Mokokchung Town,Onion,Other,FAQ
Himachal Pradesh,una,Una,Potato,Potato,FAQ
Kerala,thiruvananthapuram,Neyyatinkara,Tomato,Tomato,FAQ
Himachal Pradesh,hamirpur,Kurara,Wheat,Dara,FAQ
Orissa,nayagarh,Sarankul,Tomato,Other,FAQ
Maharashtra,ahmednagar,Pathardi,Onion,Red,FAQ
Gujarat,surat,Surat,Potato,Other,FAQ
Maharashtra,dhule,Pratap Nana Mahale Khajgi Bajar Samiti,Onion,Red,FAQ
Maharashtra,satara,Phaltan,Onion,Hybrid,FAQ
Haryana,yamuna nagar,Radaur,Tomato,Other,FAQ
Maharashtra,ahmednagar,Shrirampur,Wheat,Other,FAQ
Haryana,jind,Jind,Onion,Other,FAQ
Uttar Pradesh,jaunpur,Mugrabaadshahpur,Tomato,Deshi,FAQ
Himachal Pradesh,hamirpur,Raath,Potato,Desi,FAQ
Uttar Pradesh,jaunpur,Shahganj,Potato,Badshah,FAQ
Uttar Pradesh,mainpuri,Ghiraur,Potato,Local,FAQ
Karnataka,bangalore,Ramanagara,Tomato,Tomato,FAQ
Uttar Pradesh,etawah,Jasvantnagar,Onion,Red,FAQ
Madhya Pradesh,vidisha,Shamshabad,Wheat,Lok -1 (Nilami Rate),FAQ
Assam,lakhimpur,Golagokarnath,Potato,Badshah,FAQ
West Bengal,nadia,Ranaghat,Tomato,Other,FAQ
Gujarat,amreli,Savarkundla,Wheat,Bansi,FAQ
Madhya Pradesh,tikamgarh,Palera,Wheat,Mill Quality,FAQ
Uttar Pradesh,mirzapur,Mirzapur,Tomato,Hybrid,FAQ
Haryana,kurukshetra,Shahabad,Potato,Potato,FAQ
Maharashtra,nashik,Pimpalgaon,Onion,Other,FAQ
Madhya Pradesh,rajgarh,Sarangpur,Wheat,Other,FAQ
Uttar Pradesh,ghazipur,Gazipur,Potato,Desi,FAQ
Punjab,ludhiana,Ludhiana,Tomato,Other,FAQ
Uttar Pradesh,deoria,Barhaj,Onion,Red,FAQ
Orissa,kendrapara,Pattamundai,Tomato,Tomato,FAQ
Madhya Pradesh,bhind,Mow,Wheat,Other,FAQ
Andhra Pradesh,kurnool,Pattikonda,Tomato,Local,FAQ
West Bengal,nadia,Ranaghat,Onion,Other,FAQ
Haryana,fatehabad,Ratia,Onion,Other,FAQ
Madhya Pradesh,bhopal,Bhopal(F&V),Onion,Other,FAQ
Rajasthan,hanumangarh,Rawatsar,Tomato,Deshi,FAQ
Himachal Pradesh,kullu,Bhuntar,Onion,Other,FAQ
Kerala,thiruvananthapuram,Pothencode,Tomato,Other,FAQ
Himachal Pradesh,mandi,Mandi(Mandi),Tomato,Tomato,FAQ
Gujarat,porbandar,Porbandar,Potato,(Red Nanital),FAQ
Madhya Pradesh,narsinghpur,Narsinghpur,Wheat,Other,FAQ
Haryana,yamuna nagar,Sadhaura,Onion,Onion,FAQ
Uttar Pradesh,saharanpur,Saharanpur,Onion,Red,FAQ
Uttar Pradesh,unnao,Purwa,Tomato,Deshi,FAQ
Uttar Pradesh,mathura,Mathura,Wheat,Dara,FAQ
Haryana,gurgaon,Pataudi,Onion,Other,FAQ
Haryana,gurgaon,Pataudi,Tomato,Other,FAQ
Maharashtra,mumbai,Vashi New Mumbai,Potato,Other,FAQ
Rajasthan,kota,Kota (F&V),Tomato,Other,FAQ
Himachal Pradesh,kullu,Kullu,Onion,Other,FAQ
Madhya Pradesh,ujjain,Mahidpur,Wheat,Other,FAQ
Kerala,kollam,Kottarakkara,Tomato,Other,FAQ
Madhya Pradesh,dindori,Dindori,Wheat,Local,FAQ
Rajasthan,tonk,Dooni,Wheat,147 Average,FAQ
Orissa,nuapada,Khariar,Onion,Dry F.A.Q.,FAQ
Gujarat,rajkot,Rajkot(Veg.Sub Yard),Tomato,Tomato,FAQ
Madhya Pradesh,mandsaur,Mandsaur,Wheat,Other,FAQ
Uttar Pradesh,saharanpur,Deoband,Potato,Other,FAQ
Uttar Pradesh,aligarh,Khair,Onion,Red,FAQ
Gujarat,bhavnagar,Mahuva(Station Road),Onion,Other,FAQ
Madhya Pradesh,dewas,Dewas(F&V),Potato,Other,FAQ
Haryana,kaithal,Dhand,Potato,Other,FAQ
